roi1,roi2,voxel_idx_1,voxel_idx_2,gsp1000_mf_AvgR,yeo1000_dil_AvgR,diff
medulla,lateral_ventricle,[36 38  9],[34 43 46],-0.027319079264998436,-0.021513262763619423,-0.005805816501379013
medulla,lateral_ventricle,[43 39  6],[59 37 40],0.05500206723809242,0.027528854086995125,0.027473213151097298
medulla,lateral_ventricle,[46 30 12],[41 59 47],0.014194976538419724,0.00446018623188138,0.009734790306538343
medulla,lateral_ventricle,[43 31 10],[47 68 40],-0.013840526342391968,-0.03355943784117699,0.01971891149878502
medulla,lateral_ventricle,[50 25 12],[48 64 43],-0.03093447908759117,-0.028189118951559067,-0.0027453601360321045
medulla,lateral_ventricle,[55 25  9],[40 61 48],-0.024550583213567734,-0.003525543725118041,-0.021025039488449693
medulla,lateral_ventricle,[32 31 15],[43 64 43],-0.021153336390852928,-0.021564843133091927,0.0004115067422389984
medulla,lateral_ventricle,[32 31  9],[49 63 45],-0.00782406609505415,-0.014175853691995144,0.006351787596940994
medulla,lateral_ventricle,[40 24 13],[32 44 42],-0.014743250794708729,-0.0015086971689015627,-0.013234553625807166
medulla,lateral_ventricle,[38 33 10],[43 69 40],-0.011288699693977833,-0.04426942020654678,0.03298072051256895
medulla,lateral_ventricle,[59 22 12],[42 68 40],0.007987496443092823,0.0013115430483594537,0.006675953394733369
medulla,lateral_ventricle,[31 26 10],[45 69 41],-0.01601305976510048,-0.04502635449171066,0.029013294726610184
medulla,lateral_ventricle,[46 43 17],[42 69 42],0.025736521929502487,-0.014291257597506046,0.040027779527008533
medulla,lateral_ventricle,[46 29 16],[43 60 46],0.0008128286572173238,-0.014711140654981136,0.01552396931219846
medulla,lateral_ventricle,[54 37  7],[47 65 38],-0.04255210980772972,-0.03330289199948311,-0.009249217808246613
medulla,lateral_ventricle,[45 43 14],[39 70 45],0.07245012372732162,0.033414073288440704,0.03903605043888092
medulla,lateral_ventricle,[44 27 11],[41 57 48],-0.00011245732457609847,0.0006544454372487962,-0.0007669027618248947
