roi1,roi2,voxel_idx_1,voxel_idx_2,gsp1000_mf_AvgR,yeo1000_dil_AvgR,diff
medulla,csf,[35 23 11],[72 27 30],0.13681623339653015,0.09112615883350372,0.04569007456302643
medulla,csf,[53 30  9],[42 21 25],-0.006853994447737932,-0.05194172263145447,0.045087728183716536
medulla,csf,[37 23 10],[74 81 33],-0.00024906822363846004,0.020380882546305656,-0.020629950769944116
medulla,csf,[41 28 12],[26 96 39],0.02951294556260109,0.0002995542890857905,0.0292133912735153
medulla,csf,[39 25 12],[60 54 17],0.004662108141928911,-0.006141206715255976,0.010803314857184887
medulla,csf,[48 43 13],[48 63 41],-0.12638702988624573,-0.0317886583507061,-0.09459837153553963
medulla,csf,[38 35  6],[60 66 71],0.003980500157922506,-0.06405948102474213,0.06803998118266463
medulla,csf,[40 23 11],[81 46 53],-0.004860186018049717,-0.011033758521080017,0.0061735725030303
medulla,csf,[51 33  9],[41 66 27],-0.0068565369583666325,0.01755470223724842,-0.024411239195615053
medulla,csf,[46 25 13],[61 71 22],0.04266929626464844,-9.27141954889521e-05,0.04276201046013739
medulla,csf,[47 33 10],[19 79 52],0.035001374781131744,0.02660553902387619,0.008395835757255554
medulla,csf,[56 35  7],[44 23 63],-0.01424739882349968,-0.04028084874153137,0.026033449918031693
medulla,csf,[38 35  4],[32 49 75],-0.02084307000041008,-0.03512381389737129,0.014280743896961212
medulla,csf,[66 22 19],[45 63 37],0.025941187515854836,0.032725170254707336,-0.006783982738852501
medulla,csf,[49 22 12],[10 59 49],-0.01114555262029171,-0.028836652636528015,0.017691100016236305
medulla,csf,[34 26  9],[74 78 49],0.06744381040334702,0.05147702619433403,0.015966784209012985
medulla,csf,[45 38  4],[13 66 51],0.005844682455062866,-0.024142911657691002,0.029987594112753868
medulla,csf,[50 42  5],[15 70 22],-0.016282200813293457,-0.021586574614048004,0.005304373800754547
medulla,csf,[36 34 16],[44 19 22],-0.024542421102523804,0.017807651311159134,-0.04235007241368294
medulla,csf,[56 38  7],[22 88 51],0.01784476265311241,0.01306840404868126,0.004776358604431152
medulla,csf,[46 42 12],[64 78 24],0.0,0.0,0.0
medulla,csf,[52 33 16],[40 53 48],0.03184739872813225,0.02128824219107628,0.01055915653705597
medulla,csf,[41 40  4],[34 85 62],0.0106026791036129,-0.010938553139567375,0.021541232243180275
medulla,csf,[52 32  9],[27 61 69],0.052845124155282974,0.06715478003025055,-0.014309655874967575
medulla,csf,[48 38  5],[76 48 63],-0.017761962488293648,-0.02232552133500576,0.004563558846712112
medulla,csf,[37 42  7],[43 84 64],-0.014329315163195133,-0.05257875472307205,0.03824943955987692
medulla,csf,[31 30  9],[50 45 78],-0.01504437904804945,-0.05450814589858055,0.0394637668505311
medulla,csf,[49 22 12],[17 50 65],-0.046427007764577866,-0.052132319658994675,0.005705311894416809
medulla,csf,[40 25 13],[70 82 24],0.0,0.0,0.0
medulla,csf,[42 28 12],[55 12 26],0.10204856842756271,0.04316072538495064,0.058887843042612076
medulla,csf,[54 25  8],[75 79 33],-0.00909168180078268,0.004174962639808655,-0.013266644440591335
medulla,csf,[36 34 15],[75 73 49],-0.01847865991294384,-0.021402953192591667,0.002924293279647827
medulla,csf,[44 42  9],[37 22 27],-0.00727106211706996,-0.0035633996594697237,-0.003707662457600236
medulla,csf,[41 33  6],[62 62 69],-0.01835610531270504,-0.03365480899810791,0.01529870368540287
medulla,csf,[41 39  5],[55 42  4],0.020217712968587875,0.04464348033070564,-0.024425767362117767
medulla,csf,[68 30 10],[57 40 75],-0.08486668765544891,-0.1228841170668602,0.038017429411411285
medulla,csf,[33 44  9],[ 48 100  34],-0.03973805531859398,-0.029953761026263237,-0.009784294292330742
medulla,csf,[63 31  6],[25 25  8],0.06585308909416199,0.07855373620986938,-0.012700647115707397
medulla,csf,[36 38  5],[82 50 26],0.0,0.0,0.0
medulla,csf,[37 31  8],[69 41 13],0.12758506834506989,0.10026242583990097,0.027322642505168915
medulla,csf,[34 34  5],[48 22 23],0.01883355714380741,-0.0006497489521279931,0.019483306095935404
medulla,csf,[45 41  7],[78 34 42],-0.008717653341591358,-0.000947547669056803,-0.007770105672534555
medulla,csf,[28 31  6],[49 17 25],0.09954427182674408,0.04626275226473808,0.053281519562006
medulla,csf,[39 26 10],[77 30 41],0.05875369533896446,0.0435304269194603,0.015223268419504166
medulla,csf,[53 31  8],[13 60 18],0.010901200585067272,-0.014716824516654015,0.025618025101721287
medulla,csf,[39 40 10],[35 97 26],-0.00891759805381298,-0.006757327355444431,-0.0021602706983685493
medulla,csf,[40 38  7],[40 69 45],0.007769973482936621,-0.013814585283398628,0.02158455876633525
medulla,csf,[45 45 15],[40 64 47],0.08279944956302643,0.0438503623008728,0.038949087262153625
medulla,csf,[39 34  6],[ 35 100  37],0.0499596893787384,0.04052601009607315,0.009433679282665253
medulla,csf,[51 39  8],[39 59 49],-0.02062062919139862,-0.009807728230953217,-0.010812900960445404
medulla,csf,[53 35  6],[65 66 12],0.1349019706249237,0.07369294762611389,0.061209022998809814
medulla,csf,[27 30  8],[60 26 66],0.05338548496365547,0.11155438423156738,-0.05816889926791191
medulla,csf,[34 38  8],[19 24 52],0.0084150992333889,-0.0011642125900834799,0.00957931182347238
medulla,csf,[57 29  6],[45 56 75],-0.005520740523934364,-0.017785299569368362,0.012264559045433998
medulla,csf,[50 32  6],[79 39 51],-0.010731740854680538,0.004001425113528967,-0.014733165968209505
medulla,csf,[56 43  8],[78 63 54],-0.0007164180860854685,-0.018017178401350975,0.017300760315265507
medulla,csf,[53 35 10],[40 98 46],0.016819003969430923,-0.042677175253629684,0.05949617922306061
medulla,csf,[66 31  9],[56 10 32],0.1712072640657425,0.10263416916131973,0.06857309490442276
medulla,csf,[55 34  8],[74 76 51],-0.007190709002315998,-0.043271489441394806,0.03608078043907881
medulla,csf,[45 42  9],[70 76 24],-0.03167027235031128,-0.009324968792498112,-0.022345303557813168
medulla,csf,[38 34  6],[45 56 43],0.013642996549606323,0.018109150230884552,-0.004466153681278229
medulla,csf,[51 34  8],[41 18 58],-0.047935061156749725,-0.043921519070863724,-0.004013542085886002
medulla,csf,[40 36  8],[17 69 19],0.008840400725603104,0.005773123353719711,0.0030672773718833923
medulla,csf,[35 31 16],[47 47 37],0.01199337001889944,-0.00380516960285604,0.01579853962175548
medulla,csf,[53 36  5],[66 55 63],-0.04035153239965439,0.025762705132365227,-0.06611423753201962
medulla,csf,[49 36  9],[23 21 55],0.012071110308170319,0.06144757196307182,-0.049376461654901505
medulla,csf,[50 37  6],[77 48 21],0.0480511337518692,0.007528290152549744,0.04052284359931946
medulla,csf,[29 28  9],[63 87 55],0.10955484211444855,0.045950908213853836,0.06360393390059471
medulla,csf,[47 30 12],[72 72 60],0.007576455362141132,-0.02891230396926403,0.03648875933140516
medulla,csf,[33 32 15],[45 39 70],-0.021237578243017197,-0.028142111375927925,0.0069045331329107285
medulla,csf,[38 37 10],[21 46 70],-0.026467718183994293,-0.011913013644516468,-0.014554704539477825
medulla,csf,[43 41 10],[68 28 64],0.023316439241170883,0.020902715623378754,0.0024137236177921295
medulla,csf,[55 36  7],[ 9 58 33],-0.02570302225649357,-0.03309614956378937,0.007393127307295799
medulla,csf,[44 34  7],[45 69 54],-0.04444710910320282,-0.046272728592157364,0.001825619488954544
medulla,csf,[32 26  9],[40 60 74],-0.03735777363181114,-0.056171856820583344,0.0188140831887722
medulla,csf,[56 37  7],[42 44  2],0.0,0.0,0.0
medulla,csf,[52 33  8],[36 12 47],-0.01947249099612236,-0.026384616270661354,0.006912125274538994
medulla,csf,[32 21 12],[36 24  6],-0.09983138740062714,0.05011080205440521,-0.14994218945503235
medulla,csf,[34 37  6],[73 71 56],0.006150804925709963,-0.011734327301383018,0.01788513222709298
medulla,csf,[35 33  8],[45 44 48],-0.05096471682190895,-0.0725829228758812,0.021618206053972244
medulla,csf,[58 29  7],[74 71 53],0.027720199897885323,0.045170869678258896,-0.017450669780373573
medulla,csf,[41 19 16],[45 14 34],0.026811718940734863,0.00616562832146883,0.020646090619266033
medulla,csf,[50 42  9],[16 40 62],-0.009015659801661968,-0.024245640262961388,0.01522998046129942
medulla,csf,[50 34  5],[48 37 73],-0.029872048646211624,-0.04641116037964821,0.016539111733436584
medulla,csf,[52 40  7],[55 44 45],-0.036817535758018494,0.01108094397932291,-0.047898479737341404
medulla,csf,[62 23 12],[38 52 15],-0.03238627687096596,0.0027226246893405914,-0.03510890156030655
medulla,csf,[52 32  6],[32 96 27],0.003438514657318592,-0.00353463226929307,0.006973146926611662
medulla,csf,[51 32 18],[46 32 71],-0.024969086050987244,-0.03599509596824646,0.011026009917259216
medulla,csf,[45 30 15],[45 40 60],-0.07191476970911026,-0.055331747978925705,-0.016583021730184555
medulla,csf,[38 37  6],[36 89 24],0.0,0.0,0.0
medulla,csf,[41 33  7],[29 54 14],0.03972950205206871,0.020744824782013893,0.018984677270054817
medulla,csf,[41 31  8],[44 17 35],-0.027393603697419167,-0.03059842251241207,0.0032048188149929047
medulla,csf,[24 32  7],[56 83 23],0.0,0.0,0.0
medulla,csf,[61 28  8],[44 42 19],0.03007805533707142,0.034926049411296844,-0.004847994074225426
medulla,csf,[41 35  6],[24 20 23],0.1235780194401741,0.09131912887096405,0.03225889056921005
medulla,csf,[63 32  8],[65 22 57],-0.07703828811645508,-0.06426560878753662,-0.012772679328918457
medulla,csf,[56 18 19],[45 59 62],-0.10629504919052124,-0.11538821458816528,0.009093165397644043
medulla,csf,[33 35  8],[40 44 78],-0.00045936519745737314,-0.03167547285556793,0.03121610765811056
medulla,csf,[49 36  4],[18 65 15],0.05936529487371445,0.03543495386838913,0.023930341005325317
medulla,csf,[33 29  6],[12 40 59],-0.0019460093462839723,0.0033989790827035904,-0.005344988428987563
medulla,csf,[46 27 12],[79 61 38],-0.00568184070289135,-0.00806406233459711,0.002382221631705761
medulla,csf,[42 27 11],[ 39 101  40],0.03780622407793999,0.00871466938406229,0.029091554693877697
medulla,csf,[36 30  9],[45 76 29],-0.11654773354530334,-0.12418557703495026,0.007637843489646912
medulla,csf,[35 41  6],[21 36  8],0.17205315828323364,0.11399184167385101,0.05806131660938263
medulla,csf,[42 41 17],[32 45 68],-0.07875647395849228,-0.06964396685361862,-0.009112507104873657
medulla,csf,[42 32  9],[31 17 18],0.19442526996135712,0.15385456383228302,0.0405707061290741
medulla,csf,[45 40  7],[45 50 50],-0.02206387184560299,-0.0007582854013890028,-0.021305586444213986
medulla,csf,[42 24 12],[16 28 28],0.11253408342599869,0.06884337961673737,0.04369070380926132
medulla,csf,[38 33  9],[15 30 53],-0.025101227685809135,-0.013163738884031773,-0.011937488801777363
medulla,csf,[53 32  7],[12 35 39],0.03699585422873497,0.04915338754653931,-0.012157533317804337
medulla,csf,[31 45  9],[79 63 43],-0.009369665756821632,-0.021099846810102463,0.01173018105328083
medulla,csf,[39 42  7],[72 28 56],-0.027860064059495926,-0.03889886289834976,0.011038798838853836
medulla,csf,[56 23 11],[35 16 21],0.24877460300922394,0.13664785027503967,0.11212675273418427
medulla,csf,[41 37  8],[45 88 60],0.041904348880052567,-0.0016115176258608699,0.043515866505913436
medulla,csf,[64 32  8],[46 97 25],0.0,0.0,0.0
medulla,csf,[49 41 19],[44 68 72],-0.0399562306702137,-0.03977593034505844,-0.00018030032515525818
medulla,csf,[49 24 13],[35 46 45],-0.031436074525117874,0.00033343053655698895,-0.03176950506167486
medulla,csf,[61 34  6],[ 9 45 41],-0.004237412940710783,0.015103250741958618,-0.0193406636826694
medulla,csf,[43 40 14],[45 45 27],0.014161287806928158,0.046622760593891144,-0.032461472786962986
medulla,csf,[55 27  9],[21 21 50],0.014962060377001762,0.038834553211927414,-0.02387249283492565
medulla,csf,[26 27  8],[49 91 60],0.06980694085359573,-0.006045025307685137,0.07585196616128087
medulla,csf,[41 41 17],[68 92 39],-0.002259195316582918,-0.007816516794264317,0.005557321477681398
medulla,csf,[51 33  6],[19 27 25],0.03864762559533119,0.012766251340508461,0.02588137425482273
medulla,csf,[52 41  7],[80 55 36],-0.03217624872922897,-0.018044553697109222,-0.014131695032119751
medulla,csf,[38 25 13],[52  9 39],0.05779537931084633,0.016042621806263924,0.041752757504582405
medulla,csf,[38 32  6],[21 91 29],0.013070458546280861,0.015833279117941856,-0.0027628205716609955
medulla,csf,[53 34  8],[32 26  6],0.13382695615291595,0.060233891010284424,0.07359306514263153
medulla,csf,[42 30 11],[24 77 17],0.0007893788279034197,-0.02063220739364624,0.02142158622154966
medulla,csf,[49 40  6],[74 68 37],-0.03314846381545067,-0.026340419426560402,-0.006808044388890266
medulla,csf,[58 34  7],[47 20 58],0.009023023769259453,-0.0009635883034206927,0.009986612072680146
medulla,csf,[47 24 17],[46 69 72],-0.028230253607034683,-0.0644541084766388,0.03622385486960411
medulla,csf,[33 30  8],[54 74 71],0.026577798649668694,-0.07849108427762985,0.10506888292729855
medulla,csf,[53 29  9],[34 98 45],0.06986522674560547,0.01467818208038807,0.0551870446652174
